par,value
pr_rep_145_t01,0.483552997
pr_rep_145_t02,0.437807855
pr_rep_145_t03,0.524024337
pr_rep_145_t04,0.491490571
pr_rep_150_t01,0.522881577
pr_rep_150_t02,0.173532344
pr_rep_150_t03,0.845092829
pr_rep_150_t04,0.688844799
pr_rep_155_t01,0.475544616
pr_rep_155_t02,0.433612234
pr_rep_155_t03,0.567916844
pr_rep_155_t04,0.553290532
pr_rep_160_t01,0.73564288
pr_rep_160_t02,0.596775146
pr_rep_160_t03,0.747912196
pr_rep_160_t04,0.320355446
pr_rep_165_t01,0.466891123
pr_rep_165_t02,0.468650825
pr_rep_165_t03,0.484087762
pr_rep_165_t04,0.337175974
pr_rep_170_t01,0.184423258
pr_rep_170_t02,0.545858239
pr_rep_170_t03,0.938487528
pr_rep_170_t04,0.138104765
