moment,se
FNC_block_26,0.000427546417387826
MSNBC_block_26,0.000289351537355372
CNN_block_27,0.000185952554587579
FNC_block_27,0.000426287573808937
MSNBC_block_27,0.000283314301868697
CNN_block_28,0.000191517403837723
FNC_block_28,0.000438114009733993
MSNBC_block_28,0.000296230207720133
CNN_block_29,0.00020111010846798
FNC_block_29,0.000444801217728855
MSNBC_block_29,0.000312164770500281
CNN_block_30,0.000196515905935347
FNC_block_30,0.000443243662869643
MSNBC_block_30,0.000296343053827991
CNN_block_31,0.000190200320091105
FNC_block_31,0.000460126325117293
MSNBC_block_31,0.000320562324691188
CNN_block_32,0.000192354019847919
FNC_block_32,0.000469567009759514
MSNBC_block_32,0.000315709765014792
CNN_block_33,0.000204813867194601
FNC_block_33,0.000449736476957543
MSNBC_block_33,0.000313346026281928
CNN_block_34,0.000189907668666328
FNC_block_34,0.000410184635715345
MSNBC_block_34,0.000288139304227322
CNN_block_35,0.000211023273055849
FNC_block_35,0.000421581390693372
MSNBC_block_35,0.000295809847840665
CNN_block_36,0.000224956128687955
FNC_block_36,0.000416917539890495
MSNBC_block_36,0.00029899000319434
CNN_block_37,0.000230227277218948
FNC_block_37,0.000519935169236556
MSNBC_block_37,0.000331272782820828
CNN_block_38,0.000213496406875046
FNC_block_38,0.000498741518403059
MSNBC_block_38,0.000309692007788712
CNN_block_39,0.00021174115829643
FNC_block_39,0.000510018374166973
MSNBC_block_39,0.000323327557342911
CNN_block_40,0.000236433797561883
FNC_block_40,0.000504997811126509
MSNBC_block_40,0.000327996863854646
CNN_block_41,0.000285321957084568
FNC_block_41,0.00049359425100229
MSNBC_block_41,0.000337806145310212
CNN_block_42,0.000258806752461827
FNC_block_42,0.000483983502922842
MSNBC_block_42,0.000295380611350565
CNN_block_43,0.000254232828208648
FNC_block_43,0.000490210522409071
MSNBC_block_43,0.000297752423469484
CNN_block_44,0.000274050856522504
FNC_block_44,0.000504222366844497
MSNBC_block_44,0.000309750971215452
CNN_block_45,0.000261018799303629
FNC_block_45,0.000493295942561966
MSNBC_block_45,0.000298474836054241
CNN_block_46,0.000249089779605794
FNC_block_46,0.000449946190150682
MSNBC_block_46,0.000255810366211736
CNN_block_47,0.000226260997679468
FNC_block_47,0.000448190571479536
MSNBC_block_47,0.000217596214661111
CNN_block_48,0.000199433773728875
FNC_block_48,0.000424271962879776
MSNBC_block_48,0.000194454897182324
CNN_block_49,0.000173552684637717
FNC_block_49,0.000411187165449566
MSNBC_block_49,0.000261253790108252
CNN_block_50,0.000173771157159903
FNC_block_50,0.000410303351909444
MSNBC_block_50,0.000257707505012419
CNN_block_51,0.000182334489876211
FNC_block_51,0.000424253409054833
MSNBC_block_51,0.000245551203781049
CNN_block_52,0.000206209088391932
FNC_block_52,0.000434407403140063
MSNBC_block_52,0.000246638208897874
CNN_block_53,0.000183356197279956
FNC_block_53,0.000415255524235668
MSNBC_block_53,0.000269824712261179
CNN_block_54,0.00016759383480915
FNC_block_54,0.000390595004239772
MSNBC_block_54,0.000265198109415702
CNN_block_55,0.000163206400945181
FNC_block_55,0.000402314924655789
MSNBC_block_55,0.000271745191969234
CNN_block_56,0.000167892859900812
FNC_block_56,0.000399963339893234
MSNBC_block_56,0.000290293996672757
CNN_block_57,0.00017068114485884
FNC_block_57,0.000390102505165306
MSNBC_block_57,0.000295124741534515
CNN_block_58,0.000158489522219971
FNC_block_58,0.000376414258156716
MSNBC_block_58,0.000269803426315047
CNN_block_59,0.000150972524425769
FNC_block_59,0.000400091025379702
MSNBC_block_59,0.000260337209579326
CNN_block_60,0.000166790962730673
FNC_block_60,0.000394117887385727
MSNBC_block_60,0.000252780199694831
CNN_block_61,0.000164547446453441
FNC_block_61,0.000449343406737727
MSNBC_block_61,0.000260744092017913
CNN_block_62,0.000152617939995065
FNC_block_62,0.000464414956375207
MSNBC_block_62,0.000258862784557558
CNN_block_63,0.000159942704582763
FNC_block_63,0.000466014972769658
MSNBC_block_63,0.0002596406642702
CNN_block_64,0.000186823002380458
FNC_block_64,0.000449393998927013
MSNBC_block_64,0.000264698920822661
CNN_block_65,0.000192115496598833
FNC_block_65,0.000430830143439862
MSNBC_block_65,0.000256398246467788
CNN_block_66,0.000201483539403778
FNC_block_66,0.000416881990901197
MSNBC_block_66,0.000247547815045208
CNN_block_67,0.000188075917280943
FNC_block_67,0.000398803491347312
MSNBC_block_67,0.000252739605947152
CNN_block_68,0.000181138252100473
FNC_block_68,0.000369325662421335
MSNBC_block_68,0.000247309555728837
CNN_block_69,0.000181454397896935
FNC_block_69,0.000385422949341875
MSNBC_block_69,0.000223957684859036
CNN_block_70,0.000194294075461387
FNC_block_70,0.00036863801324433
MSNBC_block_70,0.000223079659635983
CNN_block_71,0.000196616460006527
FNC_block_71,0.000342795844528695
MSNBC_block_71,0.000221739864108135
CNN_block_72,0.000191432174411258
FNC_block_72,0.000323036098840975
