par,value
pr_news_120_t03,0.088751726119267
pr_news_120_t04,0.23188133017472
pr_news_121_t01,0.283114172173772
pr_news_121_t02,0.19822036151293
pr_news_121_t03,0.088518315031342
pr_news_121_t04,0.181348222675192
pr_news_122_t01,0.114368643506657
pr_news_122_t02,0.295910822484372
pr_news_122_t03,0.19178435861608
pr_news_122_t04,0.124373714411759
pr_news_123_t01,0.204737445509888
pr_news_123_t02,0.162500642426322
pr_news_123_t03,0.151431817349045
pr_news_123_t04,0.168580244521656
pr_news_124_t01,0.155876421102981
pr_news_124_t02,0.318145628041102
pr_news_124_t03,0.121165220621898
pr_news_124_t04,0.250205651620818
pr_news_125_t01,0.187388278554367
pr_news_125_t02,0.321469378517969
pr_news_125_t03,0.121293865002439
pr_news_125_t04,0.22167373326098
pr_news_126_t01,0.149264214565428
pr_news_126_t02,0.321871740581078
pr_news_126_t03,0.122296799696619
pr_news_126_t04,0.221877201073733
pr_news_127_t01,0.187483215767644
pr_news_127_t02,0.269251455940098
pr_news_127_t03,0.148372587013002
pr_news_127_t04,0.195560581348188
pr_news_128_t01,0.108920827841039
pr_news_128_t02,0.376906874193355
pr_news_128_t03,0.129476078373226
pr_news_128_t04,0.188900413654647
pr_news_129_t01,0.09399021608318
pr_news_129_t02,0.294837293223083
pr_news_129_t03,0.211315293549001
pr_news_129_t04,0.20254723940474
pr_news_130_t01,0.136275556644562
pr_news_130_t02,0.29730794234857
pr_news_130_t03,0.194474131748513
pr_news_130_t04,0.231178616500143
pr_news_131_t01,0.145364928116053
pr_news_131_t02,0.347520378077667
pr_news_131_t03,0.13913369295947
pr_news_131_t04,0.211092857056201
pr_news_132_t01,0.08406175732638
pr_news_132_t02,0.347346125102645
pr_news_132_t03,0.154290598201266
pr_news_132_t04,0.208925588451153
pr_news_133_t01,0.09175096038274
pr_news_133_t02,0.27873525295846
pr_news_133_t03,0.257335931132299
pr_news_133_t04,0.167452151328499
pr_news_134_t01,0.101067434360534
pr_news_134_t02,0.323272434336916
pr_news_134_t03,0.150130057009679
pr_news_134_t04,0.22716370362379
pr_news_135_t01,0.110066930717647
pr_news_135_t02,0.286074847167291
pr_news_135_t03,0.26999767203583
pr_news_135_t04,0.167652007939857
pr_news_136_t01,0.124079948139269
pr_news_136_t02,0.283399687901285
pr_news_136_t03,0.164293003452089
pr_news_136_t04,0.220927137025364
pr_news_137_t01,0.20075315505434
pr_news_137_t02,0.208672006722356
pr_news_137_t03,0.204054248504741
pr_news_137_t04,0.222767821140145
pr_news_138_t01,0.015153293743089
pr_news_138_t02,0.020018114573997
pr_news_138_t03,0.850062205172767
pr_news_138_t04,0.028676445316505
pr_news_139_t01,0.042318804504652
pr_news_139_t02,0.111061158117771
pr_news_139_t03,0.638241244950118
pr_news_139_t04,0.089436797345044
pr_news_140_t01,0.082871231770126
pr_news_140_t02,0.231430411068626
pr_news_140_t03,0.461905583124906
pr_news_140_t04,0.083619605839018
pr_news_141_t01,0.151724800367492
pr_news_141_t02,0.202859277800722
pr_news_141_t03,0.369253272103024
pr_news_141_t04,0.128520683110809
pr_news_142_t01,0.118380063265197
pr_news_142_t02,0.289776911501203
pr_news_142_t03,0.265115203712238
pr_news_142_t04,0.168585032882287
pr_news_143_t01,0.097186926757056
pr_news_143_t02,0.305465936504318
pr_news_143_t03,0.287211373300481
pr_news_143_t04,0.128269754145013
pr_news_144_t01,0.061294164549199
pr_news_144_t02,0.157399642900188
pr_news_144_t03,0.257083949549642
pr_news_144_t04,0.118678896255424
pr_news_145_t01,0.083247304310337
pr_news_145_t02,0.166533642807592
pr_news_145_t03,0.217429553210847
pr_news_145_t04,0.128668271970341
pr_news_146_t01,0.086143867251065
pr_news_146_t02,0.266000097668454
pr_news_146_t03,0.209037474188095
pr_news_146_t04,0.17895728771843
pr_news_147_t01,0.087049267553367
pr_news_147_t02,0.354536568664095
pr_news_147_t03,0.230261689309973
pr_news_147_t04,0.134341775050582
pr_news_148_t01,0.077912068254562
pr_news_148_t02,0.418460272093529
pr_news_148_t03,0.178092523026029
pr_news_148_t04,0.133561363923544
pr_news_149_t01,0.078943559615423
pr_news_149_t02,0.374622105482806
pr_news_149_t03,0.205045812711447
pr_news_149_t04,0.147750807380545
pr_news_150_t01,0.060685655565287
pr_news_150_t02,0.435974516148015
pr_news_150_t03,0.131191535325174
pr_news_150_t04,0.186315650709794
pr_news_151_t01,0.061718262042528
pr_news_151_t02,0.40301023755055
pr_news_151_t03,0.17625055187622
pr_news_151_t04,0.16542210422873
pr_news_152_t01,0.09378565900387
pr_news_152_t02,0.313291125394158
pr_news_152_t03,0.277504886368681
pr_news_152_t04,0.172989992386514
pr_news_153_t01,0.113943856142176
pr_news_153_t02,0.266802976598324
pr_news_153_t03,0.223457027979153
pr_news_153_t04,0.212970318099889
pr_news_154_t01,0.212529364092424
pr_news_154_t02,0.201541130609705
pr_news_154_t03,0.257051321066374
pr_news_154_t04,0.178076037786878
pr_news_155_t01,0.149707890672816
pr_news_155_t02,0.20517777766413
pr_news_155_t03,0.327308480311373
pr_news_155_t04,0.137873654843516
pr_news_156_t01,0.13441868587164
pr_news_156_t02,0.169410252103107
pr_news_156_t03,0.296466944451851
pr_news_156_t04,0.209516356715514
pr_news_157_t01,0.094117626707542
pr_news_157_t02,0.183538214853332
pr_news_157_t03,0.396022610238224
pr_news_157_t04,0.177445707677687
pr_news_158_t01,0.111146099826156
pr_news_158_t02,0.113066408887109
pr_news_158_t03,0.371307399919749
pr_news_158_t04,0.144137386325084
pr_news_159_t01,0.071288136734001
pr_news_159_t02,0.238133792724099
pr_news_159_t03,0.32055401672976
pr_news_159_t04,0.220244774427814
pr_news_160_t01,0.096654668153421
pr_news_160_t02,0.222863305172482
pr_news_160_t03,0.369091782660528
pr_news_160_t04,0.180361783814515
pr_news_161_t01,0.106390160175137
pr_news_161_t02,0.164191568247524
pr_news_161_t03,0.407894161088461
pr_news_161_t04,0.169231331320397
pr_news_162_t01,0.112062438685089
pr_news_162_t02,0.104663666921086
pr_news_162_t03,0.429947676075309
pr_news_162_t04,0.173449971599442
pr_news_163_t01,0.08649878457486
pr_news_163_t02,0.182988629505899
pr_news_163_t03,0.382812280680654
pr_news_163_t04,0.171049206354306
pr_news_164_t01,0.075251643967274
pr_news_164_t02,0.101953499660895
pr_news_164_t03,0.102923438323391
pr_news_164_t04,0.357358321411204
pr_news_165_t01,0.10702199255082
pr_news_165_t02,0.18700947360796
pr_news_165_t03,0.243505851238846
pr_news_165_t04,0.28958132636256
pr_news_166_t01,0.282608418609157
pr_news_166_t02,0.138847886277496
pr_news_166_t03,0.168816144121401
pr_news_166_t04,0.2524901056611
pr_news_167_t01,0.168338901726739
pr_news_167_t02,0.148098304671492
pr_news_167_t03,0.290553701356398
pr_news_167_t04,0.217008350684459
pr_news_168_t01,0.076341925283587
pr_news_168_t02,0.201279515409773
pr_news_168_t03,0.220177389851855
pr_news_168_t04,0.307594502194617
pr_news_169_t01,0.09144388460347
pr_news_169_t02,0.224265949519328
pr_news_169_t03,0.209392167118538
pr_news_169_t04,0.312547467255375
pr_news_170_t01,0.118851334261542
pr_news_170_t02,0.220611401644518
pr_news_170_t03,0.200842594018502
pr_news_170_t04,0.270308005866752
pr_news_171_t01,0.092644524632685
pr_news_171_t02,0.194316912053067
pr_news_171_t03,0.325880282488233
pr_news_171_t04,0.201667010776253
pr_news_172_t01,0.178402201331678
pr_news_172_t02,0.126439901348239
pr_news_172_t03,0.289223384666363
pr_news_172_t04,0.186840180987735
pr_rep_001_t01,0.49378515590327
pr_rep_001_t02,0.49378515590327
pr_rep_001_t03,0.49378515590327
pr_rep_001_t04,0.49378515590327
pr_rep_002_t01,0.513430143808213
pr_rep_002_t02,0.513430143808213
pr_rep_002_t03,0.513430143808213
pr_rep_002_t04,0.513430143808213
pr_rep_003_t01,0.398192515102094
pr_rep_003_t02,0.398192515102094
pr_rep_003_t03,0.398192515102094
pr_rep_003_t04,0.398192515102094
pr_rep_004_t01,0.61460903351472
pr_rep_004_t02,0.61460903351472
pr_rep_004_t03,0.61460903351472
pr_rep_004_t04,0.61460903351472
pr_rep_005_t01,0.647506788015278
pr_rep_005_t02,0.647506788015278
