household_id,zip,dma_code,timezone,r_prop
73418,48858,513,2,0.2382918111380104
44270,76087,623,1,0.8409842625756159
46260,23832,556,2,0.5085811215326281
73850,20601,511,2,0.00225583696171763
56372,78220,641,1,0.12261097804357228
44992,89104,839,4,0.1788690089476712
59659,80227,751,3,0.42761922074774295
54948,10306,501,2,0.5770509561191318
49087,12010,532,2,0.41354658221953966
77062,61745,675,1,0.2273133694832499
55417,60646,602,1,0.08111248925302987
60295,67002,678,1,0.696960967881319
57945,33324,528,2,0.020924465041214382
73325,55032,613,1,0.125605331306187
74571,95404,807,4,0.0392042301553091
47673,64117,616,1,0.05588359435928081
51254,84624,770,3,0.7791169922279954
76292,27513,560,2,0.005530255529563733
71246,91405,803,4,0.007291713777416687
55055,75028,623,1,0.7461525361087075
65051,33351,528,2,0.22727957799547907
55341,40003,529,2,0.9696438722981354
43950,94538,807,4,0.20722514344237641
61414,49441,563,2,0.4188349181970341
61869,53209,617,1,0.0011673208215142981
53844,29505,570,2,0.967714990701052
52671,13440,526,2,0.408984977676096
51692,35673,691,1,0.8677604646556477
53672,33327,528,2,0.007026685301007386
74826,27806,545,2,0.003930875330696661
54398,42001,632,1,0.10372148064320968
67467,30045,524,2,0.03241583750992543
62998,69341,759,3,0.9742563075276469
54450,32569,686,1,0.5559627558719568
49333,41051,515,2,0.5659040022144978
49840,87122,790,3,0.9107858664122115
65881,80524,751,3,0.4807228072845592
50588,35903,630,1,0.23531930005222385
68524,47203,527,2,0.9632551400596593
72933,28337,550,2,0.00421826063757039
70322,78230,641,1,0.41349720576628396
74582,55808,676,1,0.2358013289090608
45547,95829,862,4,0.39759075900577373
68504,92234,803,4,0.3120554624760454
49453,81611,751,3,0.038442285091840105
72693,85388,753,3,0.6778945252767973
46834,30501,524,2,0.9538411910334472
58478,93065,803,4,0.8872552745582036
52902,89511,811,4,0.1535537389649192
54963,37849,557,2,0.978475232612885
59885,77489,618,1,0.0021205170611375006
56630,48855,505,2,0.9625130281008734
74724,70706,716,1,0.9900579689648419
54177,59101,756,3,0.9128908676577402
65839,15212,508,2,0.4188667669291179
51607,55068,613,1,0.10605357600233033
58497,33033,528,2,0.1963052082102159
65496,84404,770,3,0.18965112279705787
71192,93901,828,4,0.3815391762345984
50452,44321,510,2,0.1492569489265733
67510,46825,509,2,0.07372480610690015
66937,47359,527,2,0.4904354868156153
72295,33024,528,2,0.0015493234318513683
67859,95123,807,4,0.05496751732393636
66343,84045,770,3,0.9742439530014239
47499,98391,819,4,0.531558176157646
71784,63368,609,1,0.9694887357703901
54905,53128,617,1,0.12881014796548063
73816,11209,501,2,0.514163393849966
52580,11210,501,2,0.028762404340286866
54744,72007,693,1,0.966425666721181
62088,80120,751,3,0.464250177683014
52431,68521,722,1,0.12433960591403682
58919,77429,618,1,0.2897162226476562
