par,lb,ub
143_t03,-1,1
143_t04,-1,1
144_t01,-1,1
144_t02,-1,1
144_t03,-1,1
144_t04,-1,1
145_t01,-1,1
145_t02,-1,1
145_t03,-1,1
145_t04,-1,1
146_t01,-1,1
146_t02,-1,1
146_t03,-1,1
146_t04,-1,1
147_t01,-1,1
147_t02,-1,1
147_t03,-1,1
147_t04,-1,1
148_t01,-1,1
148_t02,-1,1
148_t03,-1,1
148_t04,-1,1
149_t01,-1,1
149_t02,-1,1
149_t03,-1,1
149_t04,-1,1
150_t01,-1,1
150_t02,-1,1
150_t03,-1,1
150_t04,-1,1
151_t01,-1,1
151_t02,-1,1
151_t03,-1,1
151_t04,-1,1
152_t01,-1,1
152_t02,-1,1
152_t03,-1,1
152_t04,-1,1
153_t01,-1,1
153_t02,-1,1
153_t03,-1,1
153_t04,-1,1
154_t01,-1,1
154_t02,-1,1
154_t03,-1,1
154_t04,-1,1
155_t01,-1,1
155_t02,-1,1
155_t03,-1,1
155_t04,-1,1
156_t01,-1,1
156_t02,-1,1
156_t03,-1,1
156_t04,-1,1
157_t01,-1,1
157_t02,-1,1
157_t03,-1,1
157_t04,-1,1
158_t01,-1,1
158_t02,-1,1
158_t03,-1,1
158_t04,-1,1
159_t01,-1,1
159_t02,-1,1
159_t03,-1,1
159_t04,-1,1
160_t01,-1,1
160_t02,-1,1
160_t03,-1,1
160_t04,-1,1
161_t01,-1,1
161_t02,-1,1
161_t03,-1,1
161_t04,-1,1
162_t01,-1,1
162_t02,-1,1
162_t03,-1,1
162_t04,-1,1
163_t01,-1,1
163_t02,-1,1
163_t03,-1,1
163_t04,-1,1
164_t01,-1,1
164_t02,-1,1
164_t03,-1,1
164_t04,-1,1
165_t01,-1,1
165_t02,-1,1
165_t03,-1,1
165_t04,-1,1
166_t01,-1,1
166_t02,-1,1
166_t03,-1,1
166_t04,-1,1
167_t01,-1,1
167_t02,-1,1
167_t03,-1,1
167_t04,-1,1
168_t01,-1,1
168_t02,-1,1
168_t03,-1,1
168_t04,-1,1
169_t01,-1,1
