moment,data,data_sd,simulation,distance,sq_diff
cnn block 191,0.00175869155430335,5827.905669046534,0.00137524224401046,-0.0003834493102928898,0.0008568966313332137
cnn block 345,0.00227251526997312,4248.7531468216575,0.001823207574343649,-0.00044930769562947104,0.0008577272612609294
msnbc block 223,0.00397142148596369,3192.808806838655,0.004489824099666939,0.0005184026137032491,0.0008580394932797168
msnbc block 206,0.00396952282519363,3186.7906472924324,0.004489824099666939,0.0005203012744733086,0.000862706982901856
cnn block 23,0.00207371694332435,4419.674668882381,0.0025157722778870024,0.00044205533456265255,0.0008636615272603448
cnn block 197,0.00180355091773965,4722.661139619971,0.00137524224401046,-0.0004283086737291899,0.0008663642519531712
cnn block 594,0.00180387245087134,4739.966250374863,0.00137524224401046,-0.00042863020686087993,0.0008708448684560583
cnn block 265,0.00242896263920784,4088.1713727278325,0.002890649065693877,0.0004616864264860368,0.0008714115378126198
msnbc block 615,0.00513509787928222,2814.1405698436965,0.004578439165040575,-0.0005566587142416448,0.0008720147107594606
msnbc block 569,0.00554962035911122,3387.3302819188666,0.005042149693158692,-0.0005074706659525278,0.0008723272332683143
cnn block 163,0.00183011953654546,5726.169530030461,0.0014372264650846284,-0.00039289307146083167,0.0008839199625339498
msnbc block 160,0.00404191959664763,3857.3744182240957,0.004521496794488419,0.000479577197840789,0.0008871740855259145
msnbc block 327,0.00504756729639781,2852.516858183087,0.004489824099666939,-0.0005577431967308715,0.0008873537373585306
cnn block 338,0.002321219887613,4204.045070183503,0.002780978730036693,0.0004597588424236931,0.0008886434510111545
cnn block 140,0.0017696723922981,5717.704366433413,0.00137524224401046,-0.00039443014828763985,0.0008895326680255365
msnbc block 466,0.00618838344120701,2713.062561060427,0.005615694509644255,-0.0005726889315627549,0.0008898102155778894
cnn block 79,0.00100021509115295,6347.727481017779,0.00137524224401046,0.00037502715285751007,0.0008927784509030165
msnbc block 498,0.0053992681825876,3146.5700828366566,0.004866363101622862,-0.0005329050809647377,0.0008935875950355671
msnbc block 805,0.00396909602679818,3297.550158391356,0.004489824099666939,0.0005207280728687586,0.0008941562019035664
msnbc block 636,0.00396163473378318,3207.8928707615487,0.004489824099666939,0.0005281893658837583,0.000894950804650331
cnn block 80,0.000999060652724654,6351.390227652768,0.00137524224401046,0.0003761815912858061,0.0008988016788170477
cnn block 672,0.00253353883483127,3997.7774731906334,0.0020589196755119,-0.0004746191593193701,0.0009005527317455763
cnn block 20,0.00304519704128838,3648.957761669626,0.0025483099952501526,-0.0004968870460382276,0.0009009157630577283
cnn block 420,0.00181712061463149,4932.197990921851,0.0013878433688018308,-0.0004292772458296592,0.0009089002856379037
msnbc block 550,0.00421221484460239,3910.990437532995,0.0046947433831804365,0.0004825285385780462,0.0009106107283453587
cnn block 234,0.00181464586846543,4718.2425649068555,0.00137524224401046,-0.0004394036244549698,0.0009109772555305201
msnbc block 627,0.00395532581391913,3210.4400495365453,0.004489824099666939,0.0005344982857478087,0.000917185537125884
cnn block 139,0.00177693032275939,5706.0360859682705,0.00137524224401046,-0.00040168807874893,0.0009206878243375107
cnn block 676,0.000992947307323474,6320.373438442219,0.00137524224401046,0.00038229493668698604,0.0009237189034675414
cnn block 195,0.00181841655667073,4703.3525613070315,0.00137524224401046,-0.0004431743126602698,0.0009237547702677308
cnn block 343,0.00214525384803323,4372.681688659561,0.001684906454902945,-0.0004603473931302851,0.0009266574894374763
msnbc block 659,0.0040066305182104,3181.3663217927137,0.004547383158107437,0.0005407526398970375,0.0009302741986517443
cnn block 588,0.0018193988382153,4719.7346588939845,0.00137524224401046,-0.00044415659420483987,0.0009310860332410708
msnbc block 378,0.00506117704470037,2852.8781175608656,0.004489824099666939,-0.0005713529450334315,0.0009313054799749148
cnn block 566,0.00261789965731251,4924.628315970594,0.003053505657470889,0.0004356060001583792,0.0009344609648105954
msnbc block 238,0.00394879054657276,3201.908523948278,0.004489824099666939,0.0005410335530941788,0.0009372540358236396
cnn block 68,0.00128390262674413,5604.629135443312,0.0016931410270721163,0.0004092384003279862,0.0009386412519005388
cnn block 427,0.00163891918230442,5192.958447508478,0.0020651691408551235,0.0004262499585507035,0.0009435035684333653
msnbc block 413,0.00459032975251564,3107.524546195488,0.005143456225004709,0.0005531264724890688,0.0009507436997520588
cnn block 244,0.0018262299642989,4720.221948568859,0.00137524224401046,-0.0004509877202884399,0.0009600455826790698
cnn block 693,0.00183012946045526,4657.4369376650075,0.00137524224401046,-0.0004548872164448,0.0009637279343739887
cnn block 724,0.00182139380530973,4859.87348636899,0.00137524224401046,-0.00044615156129926997,0.0009673637253658637
cnn block 723,0.00182164904517932,4859.533625809011,0.00137524224401046,-0.0004464068011688599,0.0009684031575535055
cnn block 316,0.00182768475920125,4732.787796104233,0.00137524224401046,-0.00045244251519078993,0.0009688216794354211
msnbc block 326,0.00507499779757244,2844.8366633908527,0.004489824099666939,-0.0005851736979055012,0.0009741524592992056
cnn block 50,0.00181762525448135,4711.6912722564875,0.0022727999964050494,0.0004551747419236994,0.0009761872598062472
cnn block 271,0.00248928562609576,4038.4552584731478,0.0019974181681119887,-0.0004918674579837711,0.000977038003869777
cnn block 666,0.00357560152516774,3366.9356552150753,0.003036724131095096,-0.000538877394072644,0.0009777205589439467
cnn block 116,0.0017969116782731,5594.87590125898,0.00137524224401046,-0.0004216694342626399,0.0009947975350822218
cnn block 95,0.00183638219661219,4686.679631029995,0.00137524224401046,-0.00046113995260172987,0.0009966226854560833
msnbc block 635,0.00393268999655223,3219.6295505804837,0.004489824099666939,0.0005571341031147085,0.0009993678895976682
cnn block 323,0.00183732723179327,4720.375192778339,0.00137524224401046,-0.00046208498778280995,0.001007906481723106
msnbc block 471,0.0059060507190351,2776.7587506694076,0.005301756600575704,-0.000604294118459396,0.0010139928293646618
cnn block 263,0.00184097427058968,4701.316615940657,0.00137524224401046,-0.0004657320265792199,0.0010197452890527668
cnn block 313,0.00184306651331245,4713.033423025342,0.00137524224401046,-0.0004678242693019899,0.001031492359713829
