moment,data,data_sd,simulation,distance,sq_diff
fnc block 151,0.00880892500584327,2619.184023621253,0.008923236096227008,0.00011431109038373757,3.422494412390942e-5
fnc block 490,0.0133172615621885,2011.560115462358,0.013186764170306842,-0.00013049739188165758,3.425600236307235e-5
fnc block 584,0.00766894920281795,2305.6314191834335,0.007791128542688422,0.00012217933987047121,3.441798415884066e-5
msnbc block 812,0.00361578138085047,3454.2925658133863,0.0035116970675203884,-0.00010408431333008145,3.742223147263139e-5
cnn block 214,0.000746013996463527,7339.180466829208,0.0008182274440747412,7.221344761121416e-5,3.82722263098477e-5
msnbc block 595,0.00437458880237301,3047.6809331041923,0.004497999201661608,0.00012341039928859873,4.6416566607803744e-5
msnbc block 772,0.00386809508416265,3352.6026370587556,0.0037491173231131965,-0.00011897776104945364,4.745846271079799e-5
cnn block 45,0.00102069340245757,6272.778823500522,0.0011081645289680207,8.747112651045076e-5,4.7994272619490196e-5
cnn block 727,0.00210887703772706,4517.142709528589,0.002002860968345856,-0.00010601606938120392,5.077000524059066e-5
cnn block 593,0.00146581806945989,5257.322261907624,0.0013651793898578827,-0.00010063867960200716,5.324691603996238e-5
cnn block 604,0.00142914232043106,5324.453288739884,0.0013286440174022642,-0.00010049830302879571,5.3776493220702075e-5
cnn block 462,0.00250950297112815,4252.57723446012,0.002395383586020568,-0.00011411938510758187,5.538230867125823e-5
cnn block 606,0.00157533812842948,5071.747955849021,0.001680156365217993,0.00010481823678851285,5.572259876173521e-5
fnc block 623,0.00399048717188195,3190.490841801663,0.00412305486900888,0.00013256769712693007,5.6070306034908065e-5
msnbc block 420,0.00497883215483637,2984.403462257829,0.005116047961823597,0.0001372158069872266,5.619087867755344e-5
msnbc block 781,0.00431838786395438,3173.715634179223,0.004454395639381378,0.0001360077754269974,5.870775670408203e-5
cnn block 630,0.00228482465645471,4220.514316566733,0.0021667096328286234,-0.00011811502362608656,5.8881065474225116e-5
