date,rating,group,prob
2012-08-01,0.00355247531009935,path_day_41,0.00603491194146993
2012-08-02,0.00338969647834182,path_day_42,0.00588517177627571
2012-08-03,0.00276147152353178,path_day_43,0.00535878873262343
2012-08-06,0.00347311241684808,path_day_44,0.00591215876475242
2012-08-07,0.00337549920858273,path_day_45,0.0058141257805394
2012-08-08,0.00356029277964136,path_day_46,0.00594547545948542
2012-08-09,0.00352074837879603,path_day_47,0.00589363105110715
2012-08-10,0.00267990288339933,path_day_48,0.00519535750265132
2012-08-13,0.00423084379735201,path_day_49,0.00642562023151963
2012-08-14,0.00409628381636522,path_day_50,0.00629775739856415
2012-08-15,0.00435566490585112,path_day_51,0.00649553967268402
2012-08-16,0.0041669233698964,path_day_52,0.00633647502477897
2012-08-17,0.0032684194656321,path_day_53,0.00559225546462375
2012-08-20,0.00417077785866263,path_day_54,0.00629531965388841
2012-08-21,0.00432729752622868,path_day_55,0.00639791306466095
2012-08-22,0.00423326104023553,path_day_56,0.00629694841932617
2012-08-23,0.00422812414535688,path_day_57,0.00626459803029021
2012-08-24,0.00350000226421435,path_day_58,0.00564987341374532
2012-08-27,0.00478485952331962,path_day_59,0.00665828047745686
2012-08-28,0.0074909867774842,path_day_60,0.00881356993131527
2012-08-29,0.0074148755079225,path_day_61,0.00872746918524721
2012-08-30,0.00869692212362552,path_day_62,0.0097329931305092
2012-08-31,0.0040548526416122,path_day_63,0.00595544826215851
2012-09-03,0.00451444042261184,path_day_64,0.00618964516402535
2012-09-04,0.00881663728069813,path_day_65,0.00961977982409116
2012-09-05,0.00896701279330146,path_day_66,0.00971022763101386
2012-09-06,0.0100818596000142,path_day_67,0.0105748710081533
2012-09-07,0.00425385804711897,path_day_68,0.00584211500492773
2012-09-10,0.00442837018891423,path_day_69,0.00594620486672502
2012-09-11,0.00450987607946141,path_day_70,0.0059686871002736
2012-09-12,0.00578909358426716,path_day_71,0.00697119346625324
2012-09-13,0.00515842136779201,path_day_72,0.00643373869485556
2012-09-14,0.00482709553243574,path_day_73,0.00613887218034035
2012-09-17,0.00490923380517616,path_day_74,0.0061762083331596
2012-09-18,0.00529026065504791,path_day_75,0.00642007543803747
2012-09-19,0.00505607365594463,path_day_76,0.00620668344646257
2012-09-20,0.00496879833819866,path_day_77,0.00610802330346637
2012-09-21,0.00431460678390602,path_day_78,0.00555002406350993
2012-09-24,0.0048331529131947,path_day_79,0.00590074237088195
2012-09-25,0.00492210163993537,path_day_80,0.00594798370419323
2012-09-26,0.00505106897289451,path_day_81,0.00602778659612603
2012-09-27,0.00475019435500818,path_day_82,0.00572845160526098
2012-09-28,0.00410387700909642,path_day_83,0.00518241979175959
2012-10-01,0.00454299663442662,path_day_84,0.00551298516687028
2012-10-02,0.00508970001257625,path_day_85,0.00593131838375285
2012-10-03,0.0135832914091634,path_day_86,0.0127554405951437
2012-10-04,0.0058087369063959,path_day_87,0.00646223939676764
2012-10-05,0.00456175176169974,path_day_88,0.00539357003316347
2012-10-08,0.00475648632610939,path_day_89,0.0055266689701532
2012-10-09,0.0049826165622891,path_day_90,0.00568763332455252
